speaker,L1,L1_family,noun_lemma,numeral,numeral_type,dice_coefficient,proportion
Daghestan_58,Itsari Dargwa,East Caucasian,класс,три-четыре,paucal,5.21783969245816,0.11006528345995237
Daghestan_58,Itsari Dargwa,East Caucasian,учительница,три,paucal,1.04905555015449,0.25416084429134
Daghestan_58,Itsari Dargwa,East Caucasian,дочь,две,paucal,6.03282687841952,0.09352046383551403
Daghestan_58,Itsari Dargwa,East Caucasian,внук,два,paucal,3.09999502827044,0.1714289151546327
Daghestan_58,Itsari Dargwa,East Caucasian,внучка,две,paucal,1.49664632022382,0.2357069692699066
Daghestan_58,Itsari Dargwa,East Caucasian,урок,пять,other,3.93049975236568,0.08996320394504546
Daghestan_58,Itsari Dargwa,East Caucasian,урок,пять,other,3.93049975236568,0.08845278710453605
Daghestan_58,Itsari Dargwa,East Caucasian,урок,шесть,other,3.93049975236568,0.08575798638458378
Daghestan_58,Itsari Dargwa,East Caucasian,урок,пять,other,3.93049975236568,0.08923664917716945
Daghestan_58,Itsari Dargwa,East Caucasian,год,два,paucal,9.22440006137166,0.044283068025530295
Daghestan_58,Itsari Dargwa,East Caucasian,километр,шесть,other,8.67576822984004,0.027820841104496005
Daghestan_58,Itsari Dargwa,East Caucasian,километр,шесть,other,8.67576822984004,0.02812639009277152
Daghestan_58,Itsari Dargwa,East Caucasian,километр,шесть,other,8.67576822984004,0.028517435020026332
Daghestan_58,Itsari Dargwa,East Caucasian,километр,восемь,other,8.67576822984004,0.028328276414856187
Daghestan_58,Itsari Dargwa,East Caucasian,день,пятнадцать,other,7.62553093928441,0.03735843174806958
Daghestan_58,Itsari Dargwa,East Caucasian,аспирант,два,paucal,0.361326340274311,0.2609309183431356
Daghestan_58,Itsari Dargwa,East Caucasian,год,шесть-семь,other,9.22440006137166,0.024306155911986874
Daghestan_58,Itsari Dargwa,East Caucasian,месяц,семь,other,8.24186141927984,0.0328532514255431
Daghestan_58,Itsari Dargwa,East Caucasian,год,тридцать,other,9.22440006137166,0.025703904890119693
Daghestan_58,Itsari Dargwa,East Caucasian,год,шестьдесят,other,9.22440006137166,0.024616610464534783
Daghestan_58,Itsari Dargwa,East Caucasian,брат,два,paucal,5.6202696610064,0.10116432898987925
Daghestan_58,Itsari Dargwa,East Caucasian,селение,три,paucal,3.80706057915161,0.1485799198372563
Daghestan_58,Itsari Dargwa,East Caucasian,женщина,две,paucal,6.5910560184446,0.08070531655063037
Daghestan_58,Itsari Dargwa,East Caucasian,сестра,три,paucal,5.12089363108058,0.11182814931021857
Daghestan_58,Itsari Dargwa,East Caucasian,год,два,paucal,9.22440006137166,0.043321547530817864
Daghestan_58,Itsari Dargwa,East Caucasian,сестра,две,paucal,5.12089363108058,0.1119351855252134
Daghestan_58,Itsari Dargwa,East Caucasian,мельница,три,paucal,2.99079028899338,0.1769330954712352
Daghestan_58,Itsari Dargwa,East Caucasian,язык,два,paucal,5.36456018317068,0.1056092810819622
Daghestan_58,Itsari Dargwa,East Caucasian,год,пять,other,9.22440006137166,0.024927222471590602
Daghestan_58,Itsari Dargwa,East Caucasian,селение,семь,other,3.80706057915161,0.09214214121949287
Daghestan_58,Itsari Dargwa,East Caucasian,селение,семь,other,3.80706057915161,0.09097655248808711
Daghestan_58,Itsari Dargwa,East Caucasian,год,четыреста-пятьсот,other,9.22440006137166,0.026017332114080378
Daghestan_59,Itsari Dargwa,East Caucasian,тысяча,пятнадцать,other,9.24128882060055,0.026182716559302332
Daghestan_59,Itsari Dargwa,East Caucasian,тысяча,пятнадцать,other,9.24128882060055,0.025584249120961938
Daghestan_59,Itsari Dargwa,East Caucasian,баран,три,paucal,3.5756552667268102,0.1592339210771866
Daghestan_59,Itsari Dargwa,East Caucasian,баран,три,paucal,3.5756552667268102,0.16061563168199702
Daghestan_59,Itsari Dargwa,East Caucasian,километр,сорок,other,8.67576822984004,0.029333414352482216
Daghestan_59,Itsari Dargwa,East Caucasian,слово,семь,other,5.19948725536907,0.06703847034788993
Daghestan_59,Itsari Dargwa,East Caucasian,слово,три,paucal,5.19948725536907,0.11312959670155898
Daghestan_59,Itsari Dargwa,East Caucasian,год,двенадцать,other,9.22440006137166,0.024970564976791513
Daghestan_59,Itsari Dargwa,East Caucasian,год,десять,other,9.22440006137166,0.025341880070528726
Daghestan_59,Itsari Dargwa,East Caucasian,орден,два,paucal,3.3683980314654,0.16593669689294244
Daghestan_59,Itsari Dargwa,East Caucasian,орден,две,paucal,3.3683980314654,0.16645205077559427
Daghestan_59,Itsari Dargwa,East Caucasian,рана,тринадцать,other,3.79844275444141,0.09361534784288814
Daghestan_59,Itsari Dargwa,East Caucasian,класс,четыре,paucal,5.21783969245816,0.1131870034069155
Daghestan_59,Itsari Dargwa,East Caucasian,класс,четыре,paucal,5.21783969245816,0.11212924627390776
Daghestan_59,Itsari Dargwa,East Caucasian,год,семь,other,9.22440006137166,0.026512011725395294
Daghestan_59,Itsari Dargwa,East Caucasian,год,четыре,paucal,9.22440006137166,0.044274123969209885
Daghestan_59,Itsari Dargwa,East Caucasian,двор,двести деяносто,other,6.26473316532804,0.05239202470806047
Daghestan_59,Itsari Dargwa,East Caucasian,хозяйство,семьсот-шестьсот,other,3.52870367467621,0.0981333900738874
Daghestan_59,Itsari Dargwa,East Caucasian,хозяйство,пятнадцать,other,3.52870367467621,0.09808148595020358
Daghestan_59,Itsari Dargwa,East Caucasian,ученик,двести сорок,other,5.80427265593351,0.05928445674323557
Daghestan_59,Itsari Dargwa,East Caucasian,год,девяносто восемь,other,9.22440006137166,0.026183052685277517
Daghestan_59,Itsari Dargwa,East Caucasian,год,девяносто восемь,other,9.22440006137166,0.02521282491991565
Daghestan_59,Itsari Dargwa,East Caucasian,хозяйство,семь,other,3.52870367467621,0.1000368025692484
Daghestan_59,Itsari Dargwa,East Caucasian,хозяйство,семь,other,3.52870367467621,0.09917184864413156
Daghestan_59,Itsari Dargwa,East Caucasian,овца,пятьсот,other,3.61071086220577,0.09641792736374401
Daghestan_59,Itsari Dargwa,East Caucasian,пчела,сто пятьдесят,other,0.7376631,0.18024462275732764
Daghestan_59,Itsari Dargwa,East Caucasian,человек,сорок шесть,other,7.46541763295133,0.04058401161541201
Daghestan_59,Itsari Dargwa,East Caucasian,час,двадцать четыре,paucal,8.3688888175595,0.05432926953073183
Daghestan_59,Itsari Dargwa,East Caucasian,час,двадцать четыре,paucal,8.3688888175595,0.055045587919677876
Daghestan_13,Archi,East Caucasian,год,три,paucal,9.22440006137166,0.042274481081010847
Daghestan_13,Archi,East Caucasian,год,два,paucal,9.22440006137166,0.04405227027486128
Daghestan_13,Archi,East Caucasian,год,два,paucal,9.22440006137166,0.04134283521656899
Daghestan_13,Archi,East Caucasian,час,четырнадцать-пятнадцать,other,8.3688888175595,0.030284048938416963
Daghestan_13,Archi,East Caucasian,класс,десять,other,5.21783969245816,0.06329174989190424
Daghestan_13,Archi,East Caucasian,класс,десять,other,5.21783969245816,0.06342897706804264
Daghestan_13,Archi,East Caucasian,класс,семь,other,5.21783969245816,0.06509267140868916
Daghestan_13,Archi,East Caucasian,год,четыре,paucal,9.22440006137166,0.04337094731727507
Daghestan_13,Archi,East Caucasian,год,четыре,paucal,9.22440006137166,0.043077738867533896
