corpus,speaker,content,duration,n_vowels
Don,EIV1939,"Знаете как, ну вот катер толкал паром.",6.777000000000044,12
Don,EIV1939,"Вот, и компоты варили, и чаи ж гоняли, и все это.",5.160000000000309,18
Don,EIV1939,"Мы его кормили, доглядывал я с отцом и мать. Вот.",6.35399999999936,16
Don,EIV1939,Ну сейчас. Сейчас это...,2.80199999999968,7
Don,EIV1939,"А если не продашь, то что: оставаться здесь?",3.0300000000000296,13
Don,EIV1939,Да,0.7000000000000002,1
Don,EIV1939,"Во поле поле, там пружочек ходит, а за этим пружочком сам Господь ходит.",5.670999999999822,23
Don,EIV1939,Святой мой - Иван Предтеча...,2.230000000000004,8
Don,EIV1939,"Вот. Ну вот я детей своих понаучил, они хорошо молятся, все молитвы знают.",7.932999999999993,26
Don,EIV1939,"А он: ""Юрка, жалко мне Ивана""",5.355000000000018,10
Don,EIV1939,"Так вот говорит, семья хорошая эта. Вот.",3.5,14
Don,EIV1939,Иван Васильевич Ермаков.,1.73,9
Don,EIV1939,"Сталин же сказал, у нас пленных нету.",2.9400000000000546,11
Don,EIV1939,"Так что, если они такие есть злые.",3.5200000000000387,12
Don,EIV1939,"Уже постилали одежды, кричали, вот.",3.2700000000000102,13
Don,EIV1939,"Хочешь - сразу ешь, или пей.",2.8899999999999864,8
Don,EIV1939,Превечный Бог. Да.,4.22199999999998,5
Don,EIV1939,"От Совета, и вот там как, не лодка,а пристанька была, над берегом.",5.350000000000364,21
Don,EIV1939,Вот,0.5099999999999909,1
Don,EIV1939,"Деньги там, зарплата -- это все ерунда.",2.359999999999985,12
Don,EIV1939,"Когда, вот, Христос родился.",3.6769999999999072,8
Don,EIV1939,И вот мы пожили с ним. Я уже пожил.,4.259999999999991,12
Don,EIV1939,"А мы жили - ни конфетки, ни сахару.",2.909999999999968,12
Don,EIV1939,"Чтоб ты подружился, полюбил и чтобы до конца своей жизни жил.",6.711000000000013,20
Don,EIV1939,"А это давай сегодня подъедим"". Вот.",3.964999999999691,12
Don,EIV1939,поеду-ка я его домой привезу.,2.519999999999982,12
Don,EIV1939,"А деда, деда моего забрали в Новочеркасск в тюрьму.",5.380000000000109,17
Don,EIV1939,"По Мелиховке соберемся и ходили,",2.5499999999999545,13
Don,EIV1939,"Они же там, у них свои там молитвы, заговоры.",3.0600000000000023,16
Don,EIV1939,"Ну, на Троицу - когда у нас освящается, когда нет.",3.0900000000001455,17
Don,EIV1939,"пили, всё... Сейчас не знаю, не пьем.",2.675999999999931,10
Don,EIV1939,дом культуры же там. Площадь сделали. Там площадь погибших ветеранов.,5.259999999999991,21
Don,EIV1939,"Да. Там же мост был, делали же.",3.30600000000004,9
Don,EIV1939,"На подушечку посадят , вот. Пропели...",5.278000000000247,12
Don,EIV1939,"""А-а-а, не могу не сказать ни слова, ничего. Горло болит,",4.222000000000207,19
Don,EIV1939,Документов никаких.,1.7660000000000764,7
Don,EIV1939,"Ну вот например, например, это же, возьми. Крещение, да?",6.854000000000269,18
Don,EIV1939,Веточки посажали.,1.4500000000002728,7
Don,EIV1939,"Вот эти праздники и ждали,ну беднота, что ж [взять].",5.55600000000004,15
Don,EIV1939,"Вы же проснетесь опять или на Дон или какие-то игры у вас"". Вот.",4.595000000000255,22
Don,EIV1939,"А Рая, моя жена, уже родилась там, на Урале, в Свердловской области.",4.483999999999924,23
Don,EIV1939,"Вот, сажали его в первую очередь. Вот, отдохнуть.",4.060000000000059,16
Don,EIV1939,"Сколько лет... Ну да, ну... Она её заставила, мать её...",4.9699999999998,17
Don,EIV1939,"И да, и умирают вот.",1.420000000000016,8
Don,EIV1939,"Да, школа у нас была семилетка.",3.299999999999997,11
Don,EIV1939,Чистоплотный человек. Вот.,2.5080000000002656,8
Don,EIV1939,а пенициллина не было и он кончился.,3.3659999999999854,14
Don,EIV1939,"Родители пишут, дом же ударился.",2.4600000000000364,12
Don,EIV1939,Нам в дом.,1.4399999999999975,2
Don,EIV1939,Не продал тогда.,1.170000000000016,5
Don,GLT1934,"А началось как-то, ну, по радио просто там пом= болтали да и все.",6.473999999999933,21
Don,GLT1934,жил там...,1.09,2
Don,GLT1934,И все [нрзб].,3.0960000000000036,2
Don,GLT1934,"А рыба здесь любая во= водится, всякая.",2.66399999999976,14
