set,H,n_villages,n_categories,V1,V2,V3
282,0.3363969571159562,40,3,38,1,1
283,0.4531837316805838,40,3,37,2,1
284,0.5501234060351945,40,3,36,3,1
285,0.5689955935892812,40,3,36,2,2
286,0.6338054550605168,40,3,35,4,1
287,0.66493326750643,40,3,35,3,2
288,0.7073436679636536,40,3,34,5,1
289,0.7475846798245739,40,3,34,4,2
290,0.7598403047164004,40,3,34,3,3
291,0.7725585713084648,40,3,33,6,1
292,0.8200619345557181,40,3,33,5,2
293,0.8414307588625516,40,3,33,4,3
294,0.8306409835272817,40,3,32,7,1
295,0.8841837197791889,40,3,32,6,2
296,0.9128148954723553,40,3,32,5,3
297,0.9219280948873623,40,3,32,4,4
298,0.882425954337534,40,3,31,8,1
299,0.9411388429774534,40,3,31,7,2
300,0.9758093916752739,40,3,31,6,3
301,0.9921849424766138,40,3,31,5,4
302,0.9285270228564532,40,3,30,9,1
303,0.9917601481809735,40,3,30,8,2
304,1.031600849266806,40,3,30,7,3
305,1.0540157730728,40,3,30,6,4
306,1.061278124459133,40,3,30,5,5
307,0.969409849698032,40,3,29,10,1
308,1.0366587480953524,40,3,29,9,2
309,1.081019685865786,40,3,29,8,3
310,1.1086047620597919,40,3,29,7,4
311,1.1219064864507788,40,3,29,6,5
312,1.0054359543217828,40,3,28,11,1
313,1.076297625725199,40,3,28,10,2
314,1.1246743365684324,40,3,28,9,3
315,1.1567796494470395,40,3,28,8,4
316,1.1752515262260386,40,3,28,7,5
317,1.1812908992306925,40,3,28,6,6
318,1.0368902807106744,40,3,27,12,1
319,1.1110353358017644,40,3,27,11,2
320,1.1630248196510937,40,3,27,10,3
321,1.199145905602501,40,3,27,9,4
322,1.2221380190661009,40,3,27,8,5
323,1.233347544458767,40,3,27,7,6
324,1.0639993696997976,40,3,26,13,1
325,1.1411535278793057,40,3,26,12,2
326,1.1964263954163088,40,3,26,11,3
327,1.2361602543738117,40,3,26,10,4
328,1.2631681409102118,40,3,26,9,5
329,1.278897902987479,40,3,26,8,6
330,1.284068055375491,40,3,26,7,7
331,1.086943753557998,40,3,25,14,1
332,1.1668750678823046,40,3,25,13,2
333,1.225157038507726,40,3,25,12,3
334,1.2681742811529026,40,3,25,11,4
335,1.2987949406953985,40,3,25,10,5
336,1.3185404758454657,40,3,25,9,6
337,1.3282308649180787,40,3,25,8,7
338,1.1058666211014743,40,3,24,15,1
339,1.1883763717345073,40,3,24,14,2
340,1.2494354985047271,40,3,24,13,3
341,1.295461844238322,40,3,24,12,4
342,1.3293658874684917,40,3,24,11,5
343,1.3527241956246545,40,3,24,10,6
344,1.3664303577700676,40,3,24,9,7
345,1.3709505944546687,40,3,24,8,8
346,1.12087997015458,40,3,23,16,1
347,1.2057959968013856,40,3,23,15,2
348,1.2694335598803317,40,3,23,14,3
349,1.3182370617587251,40,3,23,13,4
350,1.3551502080773128,40,3,23,12,5
351,1.3817918999211498,40,3,23,11,6
352,1.3991108350726587,40,3,23,10,7
353,1.4076468448300596,40,3,23,9,8
354,1.1320689971054547,40,3,22,17,1
355,1.2192407046368487,40,3,22,16,2
356,1.2852845437295677,40,3,22,15,3
357,1.3366664819166874,40,3,22,14,4
358,1.3763567843800737,40,3,22,13,5
359,1.4060075793123286,40,3,22,12,6
360,1.4266098981515114,40,3,22,11,7
361,1.4387586809150081,40,3,22,10,8
362,1.4427744539878082,40,3,22,9,9
363,1.1394951972794727,40,3,21,18,1
364,1.228789740397119,40,3,21,17,2
365,1.2970892603744264,40,3,21,16,3
366,1.3508774745753187,40,3,21,15,4
367,1.3931462133474315,40,3,21,14,5
368,1.4255741644244848,40,3,21,13,6
369,1.4491855863520857,40,3,21,12,7
370,1.4646177528032565,40,3,21,11,8
371,1.4722462988821523,40,3,21,10,9
372,1.143198478557978,40,3,20,19,1
373,1.2344977967946407,40,3,20,18,2
374,1.3049201523582004,40,3,20,17,3
375,1.360964047443681,40,3,20,16,4
376,1.4056390622295665,40,3,20,15,5
377,1.4406454496153462,40,3,20,14,6
378,1.4670340276877456,40,3,20,13,7
379,1.4854752972273344,40,3,20,12,8
380,1.496387226993904,40,3,20,11,9
381,1.5,40,3,20,10,10
382,1.236396957115956,40,3,19,19,2
383,1.308824087798532,40,3,19,18,3
384,1.366990818470265,40,3,19,17,4
385,1.4139215141407389,40,3,19,16,5
386,1.4513341775402915,40,3,19,15,6
387,1.480301191921417,40,3,19,14,7
388,1.5015196176058043,40,3,19,13,8
389,1.5154406504607922,40,3,19,12,9
390,1.522336807154562,40,3,19,11,10
391,1.3689955935892815,40,3,18,18,4
392,1.4180491248460074,40,3,18,17,5
393,1.4577174691301482,40,3,18,16,6
394,1.4890907595250469,40,3,18,15,7
395,1.5128876215181604,40,3,18,14,8
396,1.5295858105179467,40,3,18,13,9
397,1.5394910703001345,40,3,18,12,10
398,1.5427744539878083,40,3,18,11,11
399,1.4598403047164006,40,3,17,17,6
400,1.4934692759958874,40,3,17,16,7
401,1.5196724140027738,40,3,17,15,8
402,1.5389490393112863,40,3,17,14,9
403,1.5516314552382728,40,3,17,13,10
404,1.5579239420143645,40,3,17,12,11
405,1.5219280948873621,40,3,16,16,8
406,1.5436109962096476,40,3,16,15,9
407,1.55887184844536,40,3,16,14,10
408,1.5679414913662506,40,3,16,13,11
409,1.5709505944546684,40,3,16,12,12
410,1.561278124459133,40,3,15,15,10
411,1.5729262036887497,40,3,15,14,11
412,1.5787124629219662,40,3,15,13,12
413,1.5812908992306927,40,3,14,14,12
414,1.5840680553754911,40,3,14,13,13
