set,H,n_villages,n_categories,V1,V2,V3,V4
76,0.6274918436613968,30,4,27,1,1,1
77,0.7665095065529053,30,4,26,2,1,1
78,0.878514187390799,30,4,25,3,1,1
79,0.9036771041295814,30,4,25,2,2,1
80,0.972253928364927,30,4,24,4,1,1
81,1.0137576782928113,30,4,24,3,2,1
82,1.0389205950315936,30,4,24,2,2,2
83,1.0518384134835814,30,4,23,5,1,1
84,1.1054930959648086,30,4,23,4,2,1
85,1.1218339291539108,30,4,23,3,3,1
86,1.146996845892693,30,4,23,3,2,2
87,1.119648241796936,30,4,22,6,1,1
88,1.1829860594599402,30,4,22,5,2,1
89,1.211477825202385,30,4,22,4,3,1
90,1.2366407419411674,30,4,22,4,2,2
91,1.2529815751302693,30,4,22,3,3,2
92,1.1772189178499455,30,4,21,7,1,1
93,1.2486092328524885,30,4,21,6,2,1
94,1.2867841337767103,30,4,21,5,3,1
95,1.3119470505154927,30,4,21,5,2,2
96,1.2989350663300532,30,4,21,4,4,1
97,1.3404388162579375,30,4,21,4,3,2
98,1.3567796494470397,30,4,21,3,3,3
99,1.2256051990169436,30,4,20,8,1,1
100,1.3038890505368361,30,4,20,7,2,1
101,1.3501164488005968,30,4,20,6,3,1
102,1.3752793655393791,30,4,20,6,2,2
103,1.3719505165357166,30,4,20,5,4,1
104,1.413454266463601,30,4,20,5,3,2
105,1.4256051990169438,30,4,20,4,4,2
106,1.4419460322060458,30,4,20,4,3,3
107,1.2655590033282207,30,4,19,9,1,1
108,1.349869837094248,30,4,19,8,2,1
109,1.4029907718753578,30,4,19,7,3,1
110,1.4281536886141402,30,4,19,7,2,2
111,1.4328773369500165,30,4,19,6,4,1
112,1.474381086877901,30,4,19,6,3,2
113,1.4425604721317935,30,4,19,5,5,1
114,1.4962151546130207,30,4,19,5,4,2
115,1.5125559878021229,30,4,19,5,3,3
116,1.5247069203554655,30,4,19,4,4,3
117,1.297626229780677,30,4,18,10,1,1
118,1.387291427643771,30,4,18,9,2,1
119,1.4464393446710155,30,4,18,8,3,1
120,1.4716022614097979,30,4,18,8,2,2
121,1.4832194462630235,30,4,18,7,4,1
122,1.524723196190908,30,4,18,7,3,2
123,1.5009550787843395,30,4,18,6,5,1
124,1.5546097612655667,30,4,18,6,4,2
125,1.5709505944546687,30,4,18,6,3,3
126,1.5642928964473437,30,4,18,5,5,2
127,1.5927846621897885,30,4,18,5,4,3
128,1.6049355947431312,30,4,18,4,4,4
129,1.3222033920663172,30,4,17,11,1,1
130,1.4166856206042056,30,4,17,10,2,1
131,1.481187901728517,30,4,17,9,3,1
132,1.5063508184672991,30,4,17,9,2,2
133,1.5239949855666597,30,4,17,8,4,1
134,1.565498735494544,30,4,17,8,3,2
135,1.5486241546053248,30,4,17,7,5,1
136,1.602278837086552,30,4,17,7,4,2
137,1.6186196702756541,30,4,17,7,3,3
138,1.5566766519448636,30,4,17,6,6,1
139,1.620014469607868,30,4,17,6,5,2
140,1.6485062353503128,30,4,17,6,4,3
141,1.6581893705320898,30,4,17,5,5,3
142,1.6703403030854325,30,4,17,5,4,4
143,1.3395722619867227,30,4,16,12,1,1
144,1.4384323354415096,30,4,16,11,2,1
145,1.5077516472406156,30,4,16,10,3,1
146,1.5329145639793977,30,4,16,10,2,2
147,1.5559130951758249,30,4,16,9,4,1
148,1.5974168451037092,30,4,16,9,3,2
149,1.586569246460625,30,4,16,8,5,1
150,1.640223928941852,30,4,16,8,4,2
151,1.656564762130954,30,4,16,8,3,3
152,1.601515280317513,30,4,16,7,6,1
153,1.6648530979805172,30,4,16,7,5,2
154,1.693344863722962,30,4,16,7,4,3
155,1.672905595320056,30,4,16,6,6,2
156,1.711080496244278,30,4,16,6,5,3
157,1.7232314287976207,30,4,16,6,4,4
158,1.7329145639793977,30,4,16,5,5,4
159,1.3499214199431193,30,4,15,13,1,1
160,1.45279363084913,30,4,15,12,2,1
161,1.5264907875651348,30,4,15,11,3,1
162,1.551653704303917,30,4,15,11,2,2
163,1.5794692661751386,30,4,15,10,4,1
164,1.620973016103023,30,4,15,10,3,2
165,1.6154797815570052,30,4,15,9,5,1
166,1.6691344640382324,30,4,15,9,4,2
167,1.6854752972273344,30,4,15,9,3,3
168,1.636452797660028,30,4,15,8,6,1
169,1.6997906153230322,30,4,15,8,5,2
170,1.728282381065477,30,4,15,8,4,3
171,1.6433463341773773,30,4,15,7,7,1
172,1.7147366491799203,30,4,15,7,6,2
173,1.7529115501041423,30,4,15,7,5,3
174,1.765062482657485,30,4,15,7,4,4
175,1.7609640474436812,30,4,15,6,6,3
176,1.7827981151788008,30,4,15,6,5,4
177,1.792481250360578,30,4,15,5,5,5
178,1.3533593350214213,30,4,14,14,1,1
179,1.4599344207871634,30,4,14,13,2,1
180,1.5376437149543918,30,4,14,12,3,1
181,1.562806631693174,30,4,14,12,2,2
182,1.5950000384812943,30,4,14,11,4,1
183,1.6365037884091787,30,4,14,11,3,2
184,1.6358275845379553,30,4,14,10,5,1
185,1.6894822670191825,30,4,14,10,4,2
186,1.7058231002082844,30,4,14,10,3,3
187,1.662154964738045,30,4,14,9,6,1
188,1.725492782401049,30,4,14,9,5,2
189,1.753984548143494,30,4,14,9,4,3
190,1.675075483501529,30,4,14,8,7,1
191,1.746465798504072,30,4,14,8,6,2
192,1.784640699428294,30,4,14,8,5,3
193,1.7967916319816366,30,4,14,8,4,4
194,1.7533593350214214,30,4,14,7,7,2
195,1.799586733285182,30,4,14,7,6,3
196,1.821420801020302,30,4,14,7,5,4
197,1.8294732983598407,30,4,14,6,6,4
198,1.8391564335416177,30,4,14,6,5,5
199,1.5413465898141232,30,4,13,13,3,1
200,1.5665095065529053,30,4,13,13,2,2
201,1.6027150507922494,30,4,13,12,4,1
202,1.6442188007201337,30,4,13,12,3,2
203,1.6479204417658093,30,4,13,11,5,1
204,1.7015751242470363,30,4,13,11,4,2
205,1.7179159574361385,30,4,13,11,3,3
206,1.6790648526406933,30,4,13,10,6,1
207,1.7424026703036974,30,4,13,10,5,2
208,1.7708944360461423,30,4,13,10,4,3
209,1.697339735501244,30,4,13,9,7,1
210,1.768730050503787,30,4,13,9,6,2
