language,n_phonemes,n
Alcozauca Mixtec,5,6
Alcozauca Mixtec,6,46
Alcozauca Mixtec,7,42
Alcozauca Mixtec,8,18
Alcozauca Mixtec,9,7
Alcozauca Mixtec,10,11
Alcozauca Mixtec,11,7
Alcozauca Mixtec,13,1
Alcozauca Mixtec,14,1
Alcozauca Mixtec,17,1
Alcozauca Mixtec,19,2
Atzingo Matlatzinca,3,1
Atzingo Matlatzinca,4,11
Atzingo Matlatzinca,5,42
Atzingo Matlatzinca,6,31
Atzingo Matlatzinca,7,102
Atzingo Matlatzinca,8,66
Atzingo Matlatzinca,9,44
Atzingo Matlatzinca,10,17
Atzingo Matlatzinca,11,5
Atzingo Matlatzinca,12,2
Chichicapan Zapotec,2,1
Chichicapan Zapotec,3,11
Chichicapan Zapotec,4,28
Chichicapan Zapotec,5,67
Chichicapan Zapotec,6,49
Chichicapan Zapotec,7,67
Chichicapan Zapotec,8,40
Chichicapan Zapotec,9,51
Chichicapan Zapotec,10,33
Chichicapan Zapotec,11,12
Chichicapan Zapotec,12,16
Chichicapan Zapotec,13,4
Chichicapan Zapotec,14,2
Chichicapan Zapotec,15,3
Chichicapan Zapotec,17,4
Chichimeca-Jonaz,3,70
Chichimeca-Jonaz,4,63
Chichimeca-Jonaz,5,28
Chichimeca-Jonaz,6,3
Chichimeca-Jonaz,7,2
Chichimeca-Jonaz,8,2
Chiquihuitlan Mazatec,2,6
Chiquihuitlan Mazatec,3,8
Chiquihuitlan Mazatec,4,45
Chiquihuitlan Mazatec,5,71
Chiquihuitlan Mazatec,6,72
Chiquihuitlan Mazatec,7,77
Chiquihuitlan Mazatec,8,58
Chiquihuitlan Mazatec,9,41
Chiquihuitlan Mazatec,10,12
Chiquihuitlan Mazatec,11,9
Chiquihuitlan Mazatec,14,1
Eastern Highland Otomi,3,47
Eastern Highland Otomi,4,46
Eastern Highland Otomi,5,313
Eastern Highland Otomi,6,491
Eastern Highland Otomi,7,368
Eastern Highland Otomi,8,314
Eastern Highland Otomi,9,176
Eastern Highland Otomi,10,91
Eastern Highland Otomi,11,67
Eastern Highland Otomi,12,39
Eastern Highland Otomi,13,23
Eastern Highland Otomi,14,8
Eastern Highland Otomi,15,5
Eastern Highland Otomi,16,5
Eastern Highland Otomi,17,2
Eastern Highland Otomi,18,3
Lealao Chinantec,3,1
Lealao Chinantec,4,1
Lealao Chinantec,5,6
Lealao Chinantec,6,29
Lealao Chinantec,7,68
Lealao Chinantec,8,152
Lealao Chinantec,9,186
Lealao Chinantec,10,232
Lealao Chinantec,11,195
Lealao Chinantec,12,149
Lealao Chinantec,13,85
Lealao Chinantec,14,34
Lealao Chinantec,15,23
Lealao Chinantec,17,3
Lealao Chinantec,18,2
Malinaltepec Me'phaa,2,1
Malinaltepec Me'phaa,3,7
Malinaltepec Me'phaa,4,23
Malinaltepec Me'phaa,5,26
Malinaltepec Me'phaa,6,36
Malinaltepec Me'phaa,7,78
Malinaltepec Me'phaa,8,136
Malinaltepec Me'phaa,9,81
Malinaltepec Me'phaa,10,43
Malinaltepec Me'phaa,11,38
Malinaltepec Me'phaa,12,17
Malinaltepec Me'phaa,13,13
Malinaltepec Me'phaa,14,8
Malinaltepec Me'phaa,16,1
Mezquital Otomi,1,1
Mezquital Otomi,2,32
Mezquital Otomi,3,67
Mezquital Otomi,4,189
Mezquital Otomi,5,372
Mezquital Otomi,6,526
Mezquital Otomi,7,383
Mezquital Otomi,8,253
Mezquital Otomi,9,100
Mezquital Otomi,10,58
Mezquital Otomi,11,31
Mezquital Otomi,12,24
Mezquital Otomi,13,20
Mezquital Otomi,14,16
Mezquital Otomi,15,5
Mezquital Otomi,16,1
Mezquital Otomi,17,1
Mitla Zapotec,4,1
Mitla Zapotec,5,30
Mitla Zapotec,6,122
Mitla Zapotec,7,195
Mitla Zapotec,8,250
Mitla Zapotec,9,217
Mitla Zapotec,10,155
Mitla Zapotec,11,93
Mitla Zapotec,12,61
Mitla Zapotec,13,27
Mitla Zapotec,14,10
Mitla Zapotec,15,4
Mitla Zapotec,16,1
Mitla Zapotec,17,1
Mitla Zapotec,18,2
Mitla Zapotec,20,2
Mitla Zapotec,21,2
Mitla Zapotec,22,2
Mitla Zapotec,23,1
Mitla Zapotec,24,1
Palantla Chinantec,3,13
Palantla Chinantec,4,99
Palantla Chinantec,5,230
Palantla Chinantec,6,176
Palantla Chinantec,7,91
Palantla Chinantec,8,50
Palantla Chinantec,9,45
Palantla Chinantec,10,38
Palantla Chinantec,11,13
Palantla Chinantec,12,13
Palantla Chinantec,13,3
Palantla Chinantec,14,1
Palantla Chinantec,15,1
Palantla Chinantec,16,1
Palantla Chinantec,18,3
San Francisco Matlatzinca,3,13
San Francisco Matlatzinca,4,2
San Francisco Matlatzinca,5,133
San Francisco Matlatzinca,6,85
San Francisco Matlatzinca,7,61
San Francisco Matlatzinca,8,53
San Francisco Matlatzinca,9,11
San Francisco Matlatzinca,10,4
San Francisco Matlatzinca,11,8
San Francisco Matlatzinca,12,1
San Francisco Matlatzinca,17,2
San Francisco Matlatzinca,19,1
San Juan Colorado Mixtec,5,6
San Juan Colorado Mixtec,6,71
San Juan Colorado Mixtec,7,66
San Juan Colorado Mixtec,8,23
San Juan Colorado Mixtec,9,23
San Juan Colorado Mixtec,10,36
San Juan Colorado Mixtec,11,9
San Juan Colorado Mixtec,12,2
San Juan Colorado Mixtec,13,1
San Pedro Amuzgos Amuzgo,3,10
San Pedro Amuzgos Amuzgo,4,55
San Pedro Amuzgos Amuzgo,5,73
San Pedro Amuzgos Amuzgo,6,122
San Pedro Amuzgos Amuzgo,7,117
San Pedro Amuzgos Amuzgo,8,126
San Pedro Amuzgos Amuzgo,9,126
San Pedro Amuzgos Amuzgo,10,95
San Pedro Amuzgos Amuzgo,11,97
San Pedro Amuzgos Amuzgo,12,71
San Pedro Amuzgos Amuzgo,13,71
San Pedro Amuzgos Amuzgo,14,58
San Pedro Amuzgos Amuzgo,15,45
San Pedro Amuzgos Amuzgo,16,39
San Pedro Amuzgos Amuzgo,17,33
San Pedro Amuzgos Amuzgo,18,19
San Pedro Amuzgos Amuzgo,19,26
San Pedro Amuzgos Amuzgo,20,21
San Pedro Amuzgos Amuzgo,21,8
San Pedro Amuzgos Amuzgo,22,13
San Pedro Amuzgos Amuzgo,23,3
San Pedro Amuzgos Amuzgo,24,4
San Pedro Amuzgos Amuzgo,25,1
San Pedro Amuzgos Amuzgo,26,2
San Pedro Amuzgos Amuzgo,28,2
San Pedro Amuzgos Amuzgo,29,1
San Pedro Amuzgos Amuzgo,31,3
Temoaya Otomi,3,21
Temoaya Otomi,4,48
Temoaya Otomi,5,94
Temoaya Otomi,6,168
Temoaya Otomi,7,149
Temoaya Otomi,8,102
Temoaya Otomi,9,50
Temoaya Otomi,10,25
Temoaya Otomi,11,7
Temoaya Otomi,12,1
Temoaya Otomi,14,1
Temoaya Otomi,18,1
Tepeuxila Cuicatec,3,6
Tepeuxila Cuicatec,4,19
Tepeuxila Cuicatec,5,29
Tepeuxila Cuicatec,6,74
Tepeuxila Cuicatec,7,110
Tepeuxila Cuicatec,8,120
Tepeuxila Cuicatec,9,78
Tepeuxila Cuicatec,10,37
Tepeuxila Cuicatec,11,41
Tepeuxila Cuicatec,12,31
Tepeuxila Cuicatec,13,20
Tepeuxila Cuicatec,14,22
Tepeuxila Cuicatec,15,14
Tepeuxila Cuicatec,16,10
Tepeuxila Cuicatec,17,4
Tepeuxila Cuicatec,18,2
Tepeuxila Cuicatec,19,2
Tilapa Otomi,2,34
Tilapa Otomi,3,48
Tilapa Otomi,4,91
Tilapa Otomi,5,139
Tilapa Otomi,6,180
Tilapa Otomi,7,91
Tilapa Otomi,8,37
Tilapa Otomi,9,10
Tilapa Otomi,10,1
Tilapa Otomi,11,2
