speaker,year,gender,conservative,innovative,total,feature
avm1922,1922,f,92,60,152,adj
ans1925,1925,f,56,70,126,adj
avt1928,1928,f,12,46,58,adj
egp1928,1928,f,33,127,160,adj
lpp1928,1928,f,2,23,25,adj
pfp1928,1928,f,83,127,210,adj
sek1930,1930,m,22,41,63,adj
mdn1933,1933,f,22,88,110,adj
opsh1935,1935,f,33,85,118,adj
lso1941,1941,f,60,103,163,adj
lgp1947,1947,f,58,200,258,adj
gvp1949,1949,f,11,73,84,adj
mgb1949,1949,f,55,70,125,adj
iip1951,1951,m,8,52,60,adj
nvt1952,1952,m,30,88,118,adj
njae1952,1952,m,0,19,19,adj
ofsh1952,1952,f,44,42,86,adj
ffp1952,1952,m,1,19,20,adj
ait1954,1954,f,21,59,80,adj
npo1954,1954,m,6,29,35,adj
ppp1955,1955,m,7,29,36,adj
ipm1956,1956,m,3,36,39,adj
ndo1958,1958,f,24,85,109,adj
nnt1960,1960,f,8,143,151,adj
nfm1961,1961,f,6,74,80,adj
vap1963,1963,f,12,63,75,adj
npo1965,1965,m,11,127,138,adj
vkch1966,1966,m,5,47,52,adj
ent1968,1968,f,1,28,29,adj
juap1969,1969,m,1,9,10,adj
nap1974,1974,f,1,14,15,adj
svp1975,1975,m,5,57,62,adj
vsp1996,1996,f,0,2,2,adj
avm1922,1922,f,37,1,38,nom
ans1925,1925,f,50,7,57,nom
avt1928,1928,f,11,0,11,nom
egp1928,1928,f,70,6,76,nom
lpp1928,1928,f,2,0,2,nom
pfp1928,1928,f,96,1,97,nom
sek1930,1930,m,69,1,70,nom
mdn1933,1933,f,33,2,35,nom
opsh1935,1935,f,4,0,4,nom
lso1941,1941,f,12,1,13,nom
lgp1947,1947,f,14,8,22,nom
gvp1949,1949,f,6,18,24,nom
mgb1949,1949,f,7,25,32,nom
iip1951,1951,m,21,5,26,nom
ffp1952,1952,m,1,29,30,nom
njae1952,1952,m,11,1,12,nom
nvt1952,1952,m,29,2,31,nom
ofsh1952,1952,f,6,0,6,nom
ait1954,1954,f,5,11,16,nom
npo1954,1954,m,15,0,15,nom
ppp1955,1955,m,18,3,21,nom
ipm1956,1956,m,12,8,20,nom
ndo1958,1958,f,17,10,27,nom
nnt1960,1960,f,4,15,19,nom
nfm1961,1961,f,2,30,32,nom
vap1963,1963,f,0,57,57,nom
npo1965,1965,m,3,12,15,nom
vkch1966,1966,m,14,1,15,nom
ent1968,1968,f,0,34,34,nom
juap1969,1969,m,7,6,13,nom
nap1974,1974,f,4,10,14,nom
svp1975,1975,m,3,55,58,nom
vsp1996,1996,f,1,7,8,nom
avm1922,1922,f,75,9,84,e-i
ans1925,1925,f,93,17,110,e-i
avt1928,1928,f,0,13,13,e-i
egp1928,1928,f,25,32,57,e-i
